code,단위 시스템,Jira 링크,기능,설명,담당자,개발 우선순위,와이어프레임 링크,기능명세,영역,디자인 수용여부,개발 수용여부,비고
PAGE-101,페이지,,메인페이지,"- 웹 사이트 클릭 시 제일 먼저 마이크 권한 허용 알림과 예/아니오 버튼 생성
= 예 클릭 시 메인 페이지 활성화(입장)
= 아니오 클릭 시 웹 사이트 종료 

= A(Audio)를 눌렀을 때 시각장애인용 회원가입페이지로 이동
= B(Big), C(Common)를 눌렀을 때 일반용 회원가입페이지로 이동
= S(Sharing)을 눌렀을 때 원격 공유 페이지로 이동",서해령,중요,,,,,,
PAGE-201(로그인페이지),페이지,,로그인페이지,"- 아이디/비밀번호 창
- 아이디/비밀번호 찾기
- 회원가입

= 로그인 버튼 클릭 시
→ DB에서 아이디, 비밀번호 맞는 지 확인
→ 사용자가 서브 화면(#3)으로 이동",강한솔,중요,,,,,,
PAGE-202,페이지,,아이디 찾기(시각장애인용),"= 아이디 찾기 버튼 클릭 시
→ 장애인 복지 카드로 OCR 인증 하면 아이디 알려주는 창을 띄우고 아이디를 음성으로 불러주기",강한솔,중요,,,,,,
PAGE-203,페이지,,"아이디 찾기(일반인용-B,C형)","- 본인 메일 입력 후 메일로 인증번호 전송
→ 인증번호 입력하면 본인아이디 뜸.

= 아이디 찾기 버튼 클릭 시 아이디 알려주는 창 띄우기(아이디 : 000000).",서해령,보통,,,,,,
PAGE-204,페이지,,비밀번호 찾기(시각장애인용),"- 비밀번호 변경 창
→ 비밀번호 변경(비밀번호 6자리) 입력(음성/키패드)
= 로그인 변경하기 클릭 시 DB에서 비밀번호 변경",강한솔,보통,,,,,,
PAGE-205,페이지,,"비밀번호 찾기(일반인용-B,C형)","- 비밀번호 찾기 창
→ 본인 이메일 입력 후 인증번호 인증
→ 인증완료 버튼 누른 후, 비밀번호 재설정

= DB에서 비밀번호 변경",서해령,보통,,,,,,
PAGE-301(회원가입페이지),페이지,,회원가입페이지(시각장애인용),"- 이름 : 실명 입력

- 아이디(중복 불가능/영문+숫자/공백 불가)
= 중복 확인 버튼 클릭 시 중복 확인 여부 확인

- 비밀번호(숫자 6자리)

- 간편 결제(결제 시 사용할 카드(카드번호, CVC 등)
→ 장애인 복지 카드(번호 등록)
- 인증 약관 전체 동의(선택/필수)

= 회원가입하기 버튼을 누르면 로그인 페이지로 이동",강한솔,중요,,,,,,
PAGE-302,페이지,,회원가입페이지(일반용),"- 이름
- 아이디(중복 불가능/영문+숫자/공백 불가)
- 비밀번호(비밀번호 일반형 8~12자리 영문+숫자 )
- 비밀번호 확인(재입력)
- 인증 약관 전체 동의(선택/필수)

= 회원가입하기 버튼을 누르면 로그인 페이지로 이동",서해령,보통,,,,,,
PAGE-401(마이페이지),페이지,,마이페이지,"앱 진입 시 ""OO님 안녕하세요, 배송 중인 상품이 1건 있습니다""와 같이 요약 정보 우선 송출",강한솔,중요,,등록 / 수정,메인 관리,,,
PAGE-402,페이지,,즐겨찾기(one-touch 재구매) / 찜한 상품,"최근 12개월 동안 2번 이상 구매한 상품 목록(즐겨찾기)
- 각 사이트에서 찜한(하트/별) 목록 불러오기",강한솔,중요,,,,,,
PAGE-403,페이지,,사이즈 정보(기억정보),"사용자 키, 몸무게, 평소 사이즈 저장 → 상품 상세페이지 진입 시 적합 사이즈(예: L) 자동 추천",강한솔,보통,,,,,,
PAGE-405,페이지,,배송/결제,"지문/비밀번호 앞 4자리 결제. 주소를 '우리집', '회사' 등 별칭으로 관리 및 음성 안내",강한솔,보통,,,,,,
PAGE-501(장바구니),페이지,,"플랫폼 통합 조회 ","각 판매처 장바구니 물품 목록 조회 / 각 플랫폼 마다 이동 링크 추가 ",강한솔,보통,,,,,,
PAGE-502,페이지,,선택적 구매,"특정 판매처별 구매(예: ""쿠팡 장바구니만 결제해줘"") 또는 개별 상품 선택/취소 제어",강한솔,보통,,,,,,
PAGE-503,페이지,,수량 조절,"음성 명령을 통해 상품 수량 변경 (예: ""물티슈 수량 2개로 늘려줘"")",강한솔,보통,,,,,,
PAGE-504,페이지,,전체 구매,모든 플랫폼의 장바구니 상품을 순차적으로 결제 프로세스에 진입,강한솔,보통,,,,,,
"PAGE-611
(음성버전)",페이지,,회원정보,"- 비밀번호 변경
- 아이디, 비밀번호 찾기",강한솔,보통,,상세,,,,
PAGE-612,페이지,,마이페이지,"- 회원 정보
- 즐겨찾기(찜한 상품)
- 구매내역(주문 배송 조회)
- 나의 취향 정보(알레르기, 사이즈 등)
- 장애인 등록증(복지카드 인증)

- 리뷰 내역(내가 쓴 후기) X
- 목소리 톤/속도 조절 X
- 고객센터(1:1 음성 문의) X",강한솔,보통,,목록,,,,
PAGE-621,페이지,,쇼핑사이트 선택,"- 네이버쇼핑, 쿠팡, 11번가, G마켓, 컬리 등 쇼핑사이트 선택
- 노랑/검정 대비로 쇼핑 사이트 버튼 생성(시각장애인 시야 인식 빠름)
- TTS로 쇼핑사이트 음성으로 인지.
- STT로 쇼핑사이트 선택 ",강한솔,보통,,상세,,,,
PAGE-622,페이지,,쇼핑사이트 화면,"- 공유 버튼 : Web RTC 실시간 화면 전송으로 함께 쇼핑.
- 화면 : MCP 서버로 연결된 쇼핑사이트 창 연결
- 장바구니 : 자사 사이트의 장바구니에 url로 DB 저장.",강한솔,보통,,상세,,,,
PAGE-623,페이지,,장바구니 화면,- 각 사이트 별 구분해서 자사사이트 물건 url 보여주기,강한솔,보통,,상세,,,,
PAGE-624,페이지,,결제창,"- 첫 결제 : 장애인 복지 카드로 인식
- 그 이후 모든 결제 : 간편 비밀번호(4자리)",강한솔,보통,,상세,,,,
"PAGE-711
(일반버전)",페이지,,회원가입 및 로그인,회원가입 및 로그인,서해령,보통,,등록 / 수정,,,,
PAGE-712,페이지,,회원정보,"- 비밀번호 변경
- 아이디, 비밀번호 찾기",서해령,보통,,상세,,,,
PAGE-713,페이지,,마이페이지,"- 위시리스트
- 자주찾는상품
- 나의 취향 정보(알레르기, 사이즈 등)",서해령,보통,,목록,,,,
PAGE-721,페이지,,쇼핑사이트 선택,"- 네이버쇼핑, 쿠팡, 11번가, G마켓, 컬리 등 쇼핑사이트 선택
- TTS로 쇼핑사이트 음성으로 인지.
- STT로 쇼핑사이트 선택 ",서해령,보통,,상세,,,,
PAGE-722,페이지,,쇼핑사이트 화면,"- 공유 버튼 : Web RTC 실시간 화면 전송으로 함께 쇼핑.
- 화면 : MCP 서버로 연결된 쇼핑사이트 창 연결
- 장바구니 : 자사 사이트의 장바구니에 바로 전달.",서해령,보통,,상세,,,,
PAGE-723,페이지,,장바구니 화면,"- 각 사이트 별 구분해서 자사사이트 물건 보여줌
- 수량 조절, 삭제 가능.",서해령,보통,,상세,,,,
PAGE-724,페이지,,결제창,일반 결제(간편비밀번호 음성 인식),서해령,보통,,상세,,,,
PAGE-801 (확대버전),페이지,,회원정보,"- 비밀번호 변경
- 아이디, 비밀번호 찾기",서해령,보통,,상세,,,,
PAGE-802,페이지,,마이페이지,"- 즐겨찾기(찜한 상품)
- 구매내역(주문 배송 조회)
- 나의 취향 정보(알레르기, 사이즈 등)",서해령,보통,,상세,,,,
PAGE-811,페이지,,쇼핑몰 선택,"- 네이버, 쿠팡 등 사이트 로고를 텍스트 버튼으로 대체
- 버튼 클릭 시 음성으로 사이트명 음성 안내 제공",서해령,보통,,상세,,,,
PAGE-812,페이지,,확대 쇼핑 뷰,"- 상품 이미지와 가격 정보를 화면의 80% 이상으로 확대
- 공유 코드 발급: 클릭 시 4자리 숫자를 크게 표시 및 TTS 안내",서해령,보통,,상세,,,,
PAGE-813,페이지,,통합 장바구니,"- 각 쇼핑몰의 물건을 한 리스트에 노출하되, 몰별 구분선을 굵게 표시

- 삭제/수량 조절 버튼을 한 화면에 최대 2개만 배치해 오클릭 방지",서해령,보통,,상세,,,,
